Product Name,Barcode,Common Name,Brands,Categories,Nutri-Score,Nutri-Score Quality,NOVA Group,Food Processing,Eco-Score,Nutrient Levels,Ingredients,Additives,Ingredient Analysis
California Walnut Kernels - Nutraj - 250 g,8906019770755.0,Walnuts,Nutraj,"Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Fruits based foods, Nuts and their products, Dried products, Nuts, Dried plant-based foods, Shelled nuts, Dried fruits, Walnuts, Walnut kernels",Nutri-Score unknown,Missing data to compute the Nutri-Score,NOVA 1,Unprocessed or minimally processed foods,Eco-Score E,Fat in high quantity (58%); Saturated fat in high quantity (5.1%); Sugars in low quantity (0%),walnut kernels,,Palm oil free; Vegan; Vegetarian
Chicken jumbo hotdog - Meatzza - 500g,8904055900679.0,Chicken Hotdog,Meatzza,"Meats and their products, Meats, Chicken and its products, Poultries, Chickens, Chicken Hotdogs",Nutri-Score D,Poor nutritional quality,NOVA 4,Ultra processed foods,Eco-Score D,Fat in moderate quantity (14.9%); Saturated fat in high quantity (8.63%); Sugars in low quantity (0%); Salt in moderate quantity (0.873%),"boneless chicken meat , water, seasoning sequestrant ins , beet juice powder, starch, art oxidant ins , dextrose, sakes  condiments, todised salt, wheat fiber, soy protein, colour fixative ins",['e250 - sodium nitrite; e316 - sodium erythorbate; e451 - triphosphates'],Palm oil content unknown; Non-vegan; Non-vegetarian
Snickers - Mars - 12g,8906002484003.0,Unknown,Mars,"Snacks, Sweet snacks, Cocoa and its products, Confectioneries, Bars, Chocolate candies, Chocolates",Nutri-Score E,Bad nutritional quality,NOVA 4,Ultra processed foods,Eco-Score not computed,Fat in high quantity (22.6%); Saturated fat in high quantity (10.2%); Sugars in high quantity (55.9%); Salt in moderate quantity (0.578%),"sugar, milk solids, cocoa butter, cocoa solids, edible vegetable fats   sal fat, palm oil, dextrose, emulsifier e liquid glucose, peanuts , sugar, hydrogenated vegetable oil palm oil, milk solids, iodized salt, cocoa butter, cocoa solids, edible vegetable fats   sal fat, palm oil, dextrose, emulsifier e",['e322 - lecithins'],Palm oil; Non-vegan; Vegetarian
Gas-O-Fast Lemon - Mankind,8904103331622.0,Acidity powder,Mankind,Unknown,Nutri-Score unknown,Missing data to compute the Nutri-Score,NOVA 4,Ultra processed foods,Eco-Score not computed,Not Available,"svarksara shudh, nimbukamlam shushkam, contains permitted sweetener, saccharin sodium, permitted colours brilliant blue fcf, tartrazine  permitted flavour lemon dry",['e133 - brilliant blue fcf; e954 - saccharin and its salts'],Palm oil content unknown; Vegan status unknown; Vegetarian status unknown
Roasted Makhana - Gorgon Nut,8908005667049.0,Roasted Fox Nuts,Gorgon Nut,"Snacks, Roasted Fox nuts",Nutri-Score unknown,Missing data to compute the Nutri-Score,NOVA 4,Ultra processed foods,Eco-Score not computed,Fat in moderate quantity (16.7%); Saturated fat in moderate quantity (1.7%); Sugars in low quantity (2%),"makhanagorgon nut, edible vegetable oil, salt, maltodextrin, sugar, garlic, spices and condiments chilli, cinnamon, onion, acidity regulator e, e, anticaking agent e, flavour enhancer e, e, hydrolysed vegetables protien and antioxidant e",['e296 - malic acid; e319 - tertiary-butylhydroquinone (tbhq); e330 - citric acid; e551 - silicon dioxide; e627 - disodium guanylate; e631 - disodium inosinate'],May contain palm oil; Vegan status unknown; Vegetarian
Roasted Soybean - Healthy Treat - 200 g,8906007063401.0,Roasted Soybeans,Healthy Treat,Roasted Soyabean with salt,Nutri-Score B,Good nutritional quality,NOVA 3,Processed foods,Eco-Score not computed,Fat in moderate quantity (14%); Saturated fat in low quantity (0%); Sugars in low quantity (0%); Salt in moderate quantity (0.8%),"soyabean, himalayan salt, carom seeds, dry mango powder, black salt, bay leaves powder, fennel seed, asafoetida, acidity regulator e edible vegetable oil cotton seed oil or sunflower oil oil sprayed for seasoning application only",['e296 - malic acid'],Palm oil free; Vegan; Vegetarian
PERI PERI THRILLER POPCORN - Ultrapop - 40 gm,8906098670076.0,Unknown,Ultrapop,"Snacks, Salty snacks, Appetizers, Popcorn, Salted popcorn",Nutri-Score unknown,Missing data to compute the Nutri-Score,NOVA 4,Ultra processed foods,Eco-Score B,Fat in moderate quantity (13.7%); Sugars in low quantity (1.84%),"popped corn, refined edible palmolein oil, iodized salt, sugar, spices and condiments chili, coriander, herbs, garlic powder, onion powder, maltodextrin, dry mango powder, tomato powder acidity regulator e, e, flavor enhancer e ,  added natural  nature identical flavouring substances",['e330 - citric acid; e334 - l(+)-tartaric acid; e627 - disodium guanylate; e631 - disodium inosinate'],Palm oil; Vegan status unknown; Vegetarian
Wheat Chapati - Asal - 200 g,8908001588560.0,Frozen Chapati,Asal,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, Frozen chapatis",Nutri-Score unknown,Missing data to compute the Nutri-Score,NOVA 4,Ultra processed foods,Eco-Score not computed,Fat in moderate quantity (8.82%); Saturated fat in moderate quantity (3.85%); Sugars in moderate quantity (5%); Salt in moderate quantity (0.625%),"whole wheat flour atta , refined sunflower oil , wheat gluten, ropurified water, preservative ins , stabilizer ins , baking powder, lodized salt",['e202 - potassium sorbate; e412 - guar gum'],Palm oil content unknown; Vegan status unknown; Vegetarian
Minute Khana Rajma Raseela - Haldiram's - 300 g,8904004442816.0,Mildly Spiced Red Kidney Beans Curry,Haldiram's,Ready-to-eat curry,Nutri-Score C,Average nutritional quality,NOVA 3,Processed foods,Eco-Score not computed,Fat in moderate quantity (12%); Saturated fat in high quantity (5.33%); Sugars in low quantity (0%); Salt in moderate quantity (0.5%),"water, red kidney beans, tomato, onion, refined sunflower oil, butter, red chilli, lodised salt, mixed spices coriander powder, lodised salt, dried mango powder, pomegranate seed, red chilli powder, cumin, black pepper, black salt, cinnamon, clove, dried ginger powder, nutmeg, mint leaves powder, bay leaf, green cardamom, fenugreek leaves  mace, ginger, garlic, coriander leaves, cumin, clove, cinnamon, bay leaves, nutmeg, large cardamom  green cardamom contains milk may contains almond, cashew, peanut, pistachio, coconut, hazelnut, soy, wheat, mustard seed, sesame seed  sulphite",,Palm oil free; Non-vegan; Vegetarian
Ragi Malt - Manna - 200 g,8906008350388.0,Unknown,Manna,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Cereals and their products, Flours, Cereal flours, Malt flours, Finger Millet flours",Nutri-Score C,Average nutritional quality,NOVA 4,Ultra processed foods,Eco-Score not computed,Fat in low quantity (0.2%); Saturated fat in low quantity (0.1%); Sugars in moderate quantity (11%); Salt in low quantity (0.0425%),"sugar, ragi , milk solids , maltodextrin, barley malt extract, cardamom contains permitted natural colour  beta carotene ins a iii",['e160a - carotene; e160ai - beta-carotene; e160aiii - beta-carotene from blakeslea trispora'],May contain palm oil; Non-vegan; Vegetarian
double cocoa protien bar - The Whole Truth - 52g,8908013479092.0,Unknown,The Whole Truth,"Dietary supplements, Bodybuilding supplements, Protein bars",Nutri-Score B,Good nutritional quality,NOVA 4,Ultra processed foods,Eco-Score not computed,Fat in moderate quantity (13.8%); Saturated fat in moderate quantity (3.4%); Sugars in moderate quantity (10.4%); Salt in low quantity (0.0182%),"cashew kernels,dates,whey protein concentrate,almond kernels,cocoa powder,cocoa butter",,Palm oil content unknown; Non-vegan; Vegetarian
Ragi Digestive Cookies - Patanjali - 200 g,8904422704992.0,Millet Cookies,Patanjali,Millet cookies,Nutri-Score D,Poor nutritional quality,NOVA 4,Ultra processed foods,Eco-Score not computed,Fat in high quantity (20.4%); Saturated fat in high quantity (9.62%); Sugars in high quantity (21.1%); Salt in moderate quantity (0.38%),"wheat flour atta  , edible vegetable oil  refined palm oil, ragi flour , sugar, wheat bran, invert sugar syrup, raising agent ins  ii, ins  lodized salt, malt extract, artificial flavouring substancesvanilla  mix fruit, acidity regulator ins , ins , ins i, natural colour ins d, flour treatment agent ins",['e150d - sulphite ammonia caramel; e223 - sodium metabisulphite; e296 - malic acid; e334 - l(+)-tartaric acid; e450 - diphosphates; e450i - disodium diphosphate; e500 - sodium carbonates; e500ii - sodium hydrogen carbonate; e503 - ammonium carbonates'],Palm oil; Vegan status unknown; Vegetarian status unknown
CHRUNCHEM Masala Masti - Balaji - 150,8906010503529.0,Unknown,Balaji,"Plant-based foods and beverages, Plant-based foods, Snacks, Cereals and potatoes, Salty snacks, Appetizers, Chips and fries, Crisps, Potato crisps",Nutri-Score unknown,Missing data to compute the Nutri-Score,NOVA 3,Processed foods,Eco-Score C,Not Available,"potato , edible vegetable oil palmolein, sugar, spices  condiments  chilli, dry mango, coriander, cumin, black pepper, ginger, clove, edible common salt, black salt",,Palm oil; Vegan; Vegetarian
Seeded Tamarind - More Choice - 500 g,89023023275061.0,Tamarind,"More Choice, More","Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Fruits based foods, Fruits, Immature tamarind pulp, Tamarind",Nutri-Score D,Poor nutritional quality,NOVA 1,Unprocessed or minimally processed foods,Eco-Score B,Not Available,tamarind,,Palm oil free; Vegan; Vegetarian
Dosa-Idly Batter - Ammamma's - 1kg,8908017084001.0,Unknown,Ammamma's,"Dosa batter, Idly batter",Nutri-Score B,Good nutritional quality,NOVA 3,Processed foods,Eco-Score not computed,Fat in low quantity (0%); Sugars in low quantity (0%); Salt in low quantity (0.225%),"ropurified water, rice, urad dal, fenugreek seeds  culture",,Palm oil content unknown; Vegan status unknown; Vegetarian
Upma - Masti Oye! - 60g,8904132946330.0,Upma Instant mix,Masti Oye!,"Instant foods, Upmas",Nutri-Score E,Bad nutritional quality,NOVA 4,Ultra processed foods,Eco-Score not computed,Fat in moderate quantity (3.4%); Saturated fat in moderate quantity (2%); Sugars in low quantity (2.5%); Salt in high quantity (3.86%),"suji , edible vegetable fat  intersterified palm  palm kernel, iodized salt, green chillies, dehydrated carrot, mustard, ginger, sugar, bengal gram, curry leaves, dehydrated onion, acidity regulators , , natural  nature identical flavouring substances",['e330 - citric acid; e334 - l(+)-tartaric acid'],May contain palm oil; Vegan status unknown; Vegetarian
Tamarind - - 500g,8902901011517.0,Unknown,Unknown,Tamarind,Nutri-Score D,Poor nutritional quality,NOVA 1,Unprocessed or minimally processed foods,Eco-Score not computed,Not Available,tamarind,,Palm oil free; Vegan; Vegetarian
Refined Sunflower Oil - Hello Life - 1 L,8906126830007.0,Refined Sunflower Oil,Hello Life,"Plant-based foods and beverages, Plant-based foods, Fats, Vegetable fats, Vegetable oils, Sunflower seeds and their products, Sunflower oils",Nutri-Score unknown,Missing data to compute the Nutri-Score,NOVA 4,Ultra processed foods,Eco-Score C,Fat in high quantity (100%); Saturated fat in high quantity (11%); Sugars in low quantity (0%),"refined sunflower oil, permitted antioxidant tbhq e, vitamin a, vitamin d and antifoaming agent dimethyl polysiloxane dmps e",['e319 - tertiary-butylhydroquinone (tbhq); e900 - dimethylpolysiloxane and methylphenylpolysiloxane'],Palm oil content unknown; Vegan status unknown; Vegetarian
SENDHA NAMAK - Aadar - 100g,8908013338795.0,Rock Salt,Aadar,"Condiments, Salts, Rock salt",Nutri-Score not-applicable,Not-applicable for the category,NOVA 2,Processed culinary ingredients,Eco-Score B,Fat in low quantity (0%); Saturated fat in low quantity (0%); Sugars in low quantity (0%); Salt in high quantity (85%),rock salt sendha namak,,Palm oil content unknown; Vegan status unknown; Vegetarian
Amul Vanilla Gold,8901262174244.0,Unknown,Amul,"Desserts, Frozen foods, Frozen desserts, Ice creams and sorbets, Ice creams, Ice cream tubs",Nutri-Score D,Poor nutritional quality,NOVA 4,Ultra processed foods,Eco-Score B,Fat in moderate quantity (13%); Saturated fat in high quantity (7.8%); Sugars in high quantity (20.9%); Salt in low quantity (0.13%),"milk solids, sugar, emulsifier , stabilizers , , , , artificial flavouring substances vanilla",['e407 - carrageenan; e412 - guar gum; e415 - xanthan gum; e466 - sodium carboxy methyl cellulose; e471 - mono- and diglycerides of fatty acids'],Palm oil content unknown; Non-vegan; Vegetarian status unknown
Calcium Tablets - Vestige,8906031310472.0,Calcium supplement,Vestige,Dietary supplements,Nutri-Score unknown,Missing data to compute the Nutri-Score,NOVA 4,Ultra processed foods,Eco-Score not computed,Salt in low quantity (0.0585%),"calcium carbonate , maize starch, diluent ins i, emulsifier ins , anticaking agent ins  iii, antisticking agent ins , stabiliser ins , antifoaming agent ins , synthenic food colour , preservative ins , vehicle ins , sodium propyl paraben, vitamin d, llysine",['e1202 - polyvinylpolypyrrolidone; e1521 - polyethylene glycol; e171 - titanium dioxide; e219 - sodium methyl p-hydroxybenzoate; e460 - cellulose; e460i - microcrystalline cellulose; e464 - hydroxypropyl methyl cellulose; e551 - silicon dioxide; e572 - magnesium stearate'],Palm oil content unknown; Non-vegan; Non-vegetarian
Chocolate Magic Sundae - Amul - 1 l,8901262178075.0,Ice Cream,Amul,"Desserts, Frozen foods, Frozen desserts, Ice creams and sorbets",Nutri-Score E,Bad nutritional quality,NOVA 4,Ultra processed foods,Eco-Score not computed,Fat in moderate quantity (16.2%); Saturated fat in high quantity (11.1%); Sugars in high quantity (26.5%); Salt in low quantity (0.11%),"ice cream   milk solids, sugar, emulsifier , stabilizers , , , , artificial flavouring substances vanilla chocolate topping  cocoa solids, coconut oil, chocolate ripple water, sugar, dextrose, cocoa solids, stabilizer , milk chocolate chips",['e407 - carrageenan; e412 - guar gum; e415 - xanthan gum; e440 - pectins; e466 - sodium carboxy methyl cellulose; e471 - mono- and diglycerides of fatty acids'],Palm oil content unknown; Non-vegan; Vegetarian
Full cream milk - Chitale - 500ml,8906009501017.0,Unknown,Chitale,"Dairies, Milks",Nutri-Score E,Bad nutritional quality,NOVA 1,Unprocessed or minimally processed foods,Eco-Score D,Fat in moderate quantity (6.4%); Saturated fat in moderate quantity (4.7%); Sugars in low quantity (4.8%); Salt in low quantity (0.0367%),milk,,Palm oil free; Non-vegan; Vegetarian
Groviva,8901814004722.0,Unknown,Groviva,"Beverages and beverages preparations, Beverages",Nutri-Score unknown,Missing data to compute the Nutri-Score,NOVA 4,Ultra processed foods,Eco-Score not computed,Not Available,"oils palm oil  soybean oil, sucrose, milk solids , maltodextrin, soy protein isolate supro  , natureidentical flavouring substances chocolate, cocoa solids, fibers soy fiber   polydextrose , acidity regulators ins  iii, minerals, emulsifier ins i, dha powder , vitamins, choline chloride, probiotics lactobacillus acidophilus ncfm   bifidobacterium lactis hn , antioxidant premix antioxidants ins , rapeseed oil  sunflower oil, lcarnitine, inositol  taurine",['e1200 - polydextrose; e304 - fatty acid esters of ascorbic acid; e322 - lecithins; e322i - lecithin; e331 - sodium citrates; e331iii - trisodium citrate'],Palm oil; Non-vegan; Vegetarian status unknown
Craze Coffee Marie - 125g,8906158360145.0,Unknown,Craze,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits",Nutri-Score E,Bad nutritional quality,NOVA 4,Ultra processed foods,Eco-Score C,Fat in moderate quantity (10.7%); Saturated fat in high quantity (5.2%); Sugars in high quantity (21.9%); Salt in moderate quantity (0.797%),"refined wheat flour maida, sugar, refined palm oil, invert sugar syrup, natural coffee powder, milk products milk solids  sweetened condensed partly skimmed milk, raising agents   i, iodized salt, nature identical  artificial milk  vanilla flavouring substances, emulsifier  calcium salt and dough conditioner , caramel ds",['e150 - caramel; e223 - sodium metabisulphite; e500 - sodium carbonates'],Palm oil; Non-vegan; Vegetarian
Parle-G Oats & berries - 93.75g,8901719128004.0,Unknown,Parle,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits",Nutri-Score E,Bad nutritional quality,NOVA 4,Ultra processed foods,Eco-Score C,Fat in moderate quantity (11.2%); Saturated fat in moderate quantity (5%); Sugars in high quantity (25.6%); Salt in moderate quantity (0.758%),"refined wheat flour maida , sugar, refined palm oil, rolled oats , invert sugar syrup, dried sweetened cranberry , idised salt, raising agents , , barley flour, emulsifiers of vegetable origin e contains permitted added flavours artificial flavouring substances cranberry and cereal",['e500 - sodium carbonates'],Palm oil; Vegan status unknown; Vegetarian
Cornflakes+ - Yogabar - 850g,8904335602262.0,Unknown,Yogabar,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Flakes, Cereal flakes, Extruded cereals, Extruded flakes, Corn flakes",Nutri-Score D,Poor nutritional quality,NOVA 4,Ultra processed foods,Eco-Score D,Fat in low quantity (0.3%); Saturated fat in low quantity (0.1%); Sugars in moderate quantity (10.5%); Salt in moderate quantity (1.1%),"corn grits , sugar, lodized salt, malt extract, soy lecithin, vitamin  minerals premix, probiotics bacillus coagulans,  million cfu per serving contains added natural flavour  rosemary extract",['e322 - lecithins; e322i - lecithin; e392 - extracts of rosemary'],Palm oil content unknown; Vegan status unknown; Vegetarian
Classic Egg Mayonnaise - Veeba,8906069402705.0,Unknown,Veeba,High fat,Nutri-Score E,Bad nutritional quality,NOVA not computed,Food processing level unknown,Eco-Score not computed,Fat in high quantity (48.4%); Saturated fat in high quantity (8.41%); Sugars in moderate quantity (5.18%); Salt in high quantity (2.1%),veeba classic mayonnaise with egg emulsified sauce  less fat than popular mayonnais no classic is only a fancy came and hue nature does not represent,,Palm oil content unknown; Vegan status unknown; Vegetarian status unknown
Super Millets Ragi And Jowar Cookies - Sunfeast - 75 g,8901725010805.0,Unknown,Sunfeast,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits",Nutri-Score E,Bad nutritional quality,NOVA 4,Ultra processed foods,Eco-Score C,Fat in high quantity (27.9%); Saturated fat in high quantity (15.1%); Sugars in high quantity (21%); Salt in moderate quantity (1.18%),"jowar flour , sugar, hydrogenated vegetable oil, refined palm oil, ragi flour , cashew bits, milk solids, oligofructose, invert syrup, raising agents ins ii, ins ii, iodized salt, emulsifiers lecithin from soyabean, mono and diglycerides of fatty acids from palm oil, diacetyltartaric and fatty acid esters of glycerol from refined palm oil and sunflower oil, nature identical flavouring substances, butter, stabilizer ins , maltodextrin and mineral contains soy, milk, nut may contain wheat, sulphite",['e322 - lecithins; e322i - lecithin; e415 - xanthan gum; e422 - glycerol; e471 - mono- and diglycerides of fatty acids; e500 - sodium carbonates; e500ii - sodium hydrogen carbonate; e503 - ammonium carbonates; e503ii - ammonium hydrogen carbonate'],Palm oil; Non-vegan; Vegetarian
Naan Rounds - Stonefire 12 Flatbreads / Pains Plats - 360 g - 12 pc,890497000412.0,Unknown,Stonefire 12 Flatbreads / Pains Plats,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, Flatbreads, Naans, Naan Rounds",Nutri-Score C,Average nutritional quality,NOVA 4,Ultra processed foods,Eco-Score not computed,Fat in moderate quantity (3.5%); Saturated fat in low quantity (1%); Sugars in low quantity (3%); Salt in moderate quantity (1.1%),"enriched wheat flour, water, buttermilk milk ingredients, bacterial culture, soybean oil, sugars sugar, dextrose, modified wheat starch, cultured wheat flour, salt, ghee clarified butter, acacia gum, baking powder, yeast, mono  and diglycerides, amylase, xylanase contains wheat, milk may contain eggs, sesame seeds, soy",['e1100 - alpha-amylase; e414 - acacia gum; e471 - mono- and diglycerides of fatty acids'],May contain palm oil; Non-vegan; Vegetarian status unknown
Ragi Flour - Vijay Gold - 1 kg,8906012230409.0,Unknown,Vijay Gold,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Seeds, Cereals and their products, Cereal grains, Millet, Finger Millet",Nutri-Score unknown,Missing data to compute the Nutri-Score,NOVA not computed,Food processing level unknown,Eco-Score not computed,Fat in low quantity (1.48%); Sugars in low quantity (0.5%),ragi flour,,Palm oil content unknown; Vegan status unknown; Vegetarian
Black Pepper Powder - MDH - 100g,8902167000317.0,Unknown,MDH,"Plant-based foods and beverages, Plant-based foods, Condiments, Spices, Peppers, Black peppers",Nutri-Score not-applicable,Not-applicable for the category,NOVA 1,Unprocessed or minimally processed foods,Eco-Score E,Fat in moderate quantity (6.8%); Saturated fat in low quantity (0%); Sugars in low quantity (0%); Salt in low quantity (0%),black pepper powder,,Palm oil free; Vegan; Vegetarian
Eastern Chilli Powder - 250g,8901440023395.0,Unknown,Eastern,"Plant-based foods and beverages, Plant-based foods, Condiments, Spices, Chili peppers, Chili powders",Nutri-Score not-applicable,Not-applicable for the category,NOVA 1,Unprocessed or minimally processed foods,Eco-Score B,Not Available,chilli,,Palm oil free; Vegan; Vegetarian
Amul Lassi,8901262202046.0,Unknown,Amul,"Beverages and beverages preparations, Beverages",Nutri-Score E,Bad nutritional quality,NOVA 4,Ultra processed foods,Eco-Score not computed,Fat in moderate quantity (4%); Saturated fat in moderate quantity (2.4%); Sugars in high quantity (22.5%); Salt in low quantity (0.13%),"milk solids, water, sugar, thickener , artificial flavouring substances rose, active culture allergen information contains milk",['e440 - pectins'],Palm oil free; Non-vegan; Vegetarian status unknown
Browny Whole Wheat Bread -,8906029110060.0,Unknown,Unknown,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads",Nutri-Score unknown,Missing data to compute the Nutri-Score,NOVA 4,Ultra processed foods,Eco-Score not computed,Fat in low quantity (0.7%); Saturated fat in low quantity (0.2%),"whole wheat flour atta water, refined wheat flour maida, wheat gluten, sov flour, yeast, lodised salt, vegetable oils, permitted class ii preservatives ins , , flour treatment ins , , , antioxidant ins, emulsifier ins ,",['e1100 - alpha-amylase; e280 - propionic acid; e281 - sodium propionate; e300 - ascorbic acid; e412 - guar gum; e481 - sodium stearoyl-2-lactylate; e510 - ammonium chloride; e923 - ammonium persulfate'],May contain palm oil; Vegan status unknown; Vegetarian status unknown
Suchali's Artisan Multigrain Sandwich bread,8908018729079.0,Unknown,Suchali's,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads",Nutri-Score C,Average nutritional quality,NOVA 3,Processed foods,Eco-Score not computed,Fat in moderate quantity (3.4%); Saturated fat in moderate quantity (1.82%); Sugars in low quantity (3.28%); Salt in moderate quantity (1.22%),"whole wheat flour, white flour, yeast, water, butter, milk, melon seeds, flax seeds, chia seeds, white sesame seeds, oats, salt, sugar",,Palm oil free; Non-vegan; Vegetarian status unknown
Kwality Choco Flakes,8906014903394.0,Unknown,Kwality,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Chocolate cereals, Extruded cereals, Chocolate wheat shells, Filled cereals, Breakfast cereals filled with chocolate, Breakfast chocolate cereals with wheat grain flakes not fortified with vitamins and chemical elements",Nutri-Score unknown,Missing data to compute the Nutri-Score,NOVA 4,Ultra processed foods,Eco-Score D,Not Available,"wheat flour atta , sugar , cocoa solids , wheat bran , anticaking agent ins i, iodised salt, vitamin premix, and antioxidant ins  contains permitted natural colour ins d and added flavours artificial flavouring substancechocolate, vanilla allergens contains gluten wheat, may contain traces of tree nuts ctions",['e150d - sulphite ammonia caramel; e170 - calcium carbonates; e170i - calcium carbonate; e320 - butylated hydroxyanisole (bha)'],Palm oil content unknown; Vegan status unknown; Vegetarian status unknown
seed and choco chip cookies - chitale - 200g,846203002881.0,Unknown,Chitale,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits, Chocolate biscuits, Drop cookies, Chocolate chip cookies, Cookies with chocolate and nougat",Nutri-Score unknown,Missing data to compute the Nutri-Score,NOVA 4,Ultra processed foods,Eco-Score C,Not Available,"atta, hydrogenated vegetable fat, refined sugar, dark chocolate chips  sugar, hydrogenated vegetable oil vanaspati, maltodextrin, cocoa solids, emulsifier soya lecithin ins , nature identical flavouring substances vanillin, lodised salt, pumpkin seeds , sunflower seeds , cashewnuts , corn flour, orange peel, dextrose, skimmed milk powder, nature identical flavour orange, artificial flavour vanilla, raising agent ins  ii, ins , ins  ii, lodised salt",['e322 - lecithins; e322i - lecithin; e500 - sodium carbonates; e500ii - sodium hydrogen carbonate; e503 - ammonium carbonates; e503ii - ammonium hydrogen carbonate; e521 - aluminium sodium sulphate'],May contain palm oil; Non-vegan; Vegetarian status unknown
Kachhi Ghani Mustard Oil Agmark Grade-I - Shahi Pariwar - 1 Litre (910g),8906120070225.0,Unknown,Shahi Pariwar,"Plant-based foods and beverages, Plant-based foods, Fats, Vegetable fats, Vegetable oils, Mustard oils",Nutri-Score unknown,Missing data to compute the Nutri-Score,NOVA 2,Processed culinary ingredients,Eco-Score not computed,Not Available,"mustard oil, vitamin a, vitamin d",,May contain palm oil; Vegan status unknown; Vegetarian
Uncle Chiprs - 10 rs - 24gm,8901491410106.0,Unknown,10 rs,"Plant-based foods and beverages, Plant-based foods, Snacks, Cereals and potatoes, Salty snacks, Appetizers, Chips and fries, Crisps, Potato crisps",Nutri-Score unknown,Missing data to compute the Nutri-Score,NOVA 4,Ultra processed foods,Eco-Score C,Not Available,"potato, edible vegetable oil palmolein, seasoning sugar, lodised salt, spices and condiments, acidity regulators , , , maltodextrin, edible starch, salt substitute potassium chloride, milk solids, anticaking agents ,, flavour enhancers , , color d, flavour natural and nature identical flavouring substances, modified starch  as flavouring agent contains onion allergen advice contains milk coineninlivestoryunclechipps",['e1450 - starch sodium octenyl succinate; e14xx - modified starch; e150d - sulphite ammonia caramel; e296 - malic acid; e330 - citric acid; e334 - l(+)-tartaric acid; e470 - sodium/potassium/calcium and magnesium salts of fatty acids; e551 - silicon dioxide; e627 - disodium guanylate; e631 - disodium inosinate'],Palm oil; Non-vegan; Vegetarian status unknown
Rebalanz vitors - Dr Reddy's - 200 ml,8901148246102.0,Unknown,Dr Reddy's,Oral rehydration solution,Nutri-Score C,Average nutritional quality,NOVA 4,Ultra processed foods,Eco-Score not computed,Fat in low quantity (0%); Sugars in moderate quantity (9.2%); Salt in low quantity (0.292%),"water, sugar, orange juice concentrate , dextrose , acidity regulator ins , sodium citrate  potassium chloride , sodium chloride , flavour nature identical flavouring substances, vitamin c colour ins",['e110 - sunset yellow fcf; e125 - scarlet gn; e330 - citric acid; e331 - sodium citrates'],Palm oil free; Vegan status unknown; Vegetarian status unknown
Cardamom Chai - Chai Point - 14 g,8908002579413.0,Unknown,Chai Point,"Beverages and beverages preparations, Plant-based foods and beverages, Beverages, Hot beverages, Plant-based beverages, Teas",Nutri-Score not-applicable,Not-applicable for the category,NOVA 1,Unprocessed or minimally processed foods,Eco-Score B,Not Available,tea,,Palm oil free; Vegan; Vegetarian
Mysore Rasam Powder - SriVaraha Foods - 10g,8906106360647.0,Unknown,SriVaraha Foods,Condiments,Nutri-Score unknown,Missing data to compute the Nutri-Score,NOVA 1,Unprocessed or minimally processed foods,Eco-Score not computed,Fat in high quantity (80%); Saturated fat in high quantity (50%); Salt in high quantity (30.2%),"coriander seeds, toor dal, bengal gram dal, pepper, cumin and red chilli",,Palm oil content unknown; Vegan status unknown; Vegetarian
Horlicks Classic Malt - 900g,8901030915963.0,Unknown,Horlicks,"Beverages and beverages preparations, Beverages",Nutri-Score E,Bad nutritional quality,NOVA 4,Ultra processed foods,Eco-Score not computed,Fat in moderate quantity (2%); Saturated fat in moderate quantity (1.4%); Sugars in high quantity (46%); Salt in high quantity (1%),"malt  barley , wheat flour atta, wheat, millet, milk solids , sugar, wheat gluten, minerals, edible lodized salt, soy protein isolate, acidity regulators ins  ii, ii, vitamins",['e500 - sodium carbonates; e500ii - sodium hydrogen carbonate; e501 - potassium carbonates'],Palm oil content unknown; Non-vegan; Vegetarian status unknown
tomato sauce - saico - 200g,8906036731364.0,Unknown,Saico,"Condiments, Sauces, Tomato sauces",Nutri-Score unknown,Missing data to compute the Nutri-Score,NOVA 3,Processed foods,Eco-Score B,Not Available,"tomato pulp, sugar, common salt, acetic acid  chilli powder spice extract, emulsifying and stabilizers agents and contain natural colour, contains permitted class  preservative",['e211 - sodium benzoate; e260 - acetic acid'],Palm oil content unknown; Vegan status unknown; Vegetarian status unknown
